Activity ID,Activity Type [attrib],Task Name,Due At,Completed At,Farm Name,Field Name,Field ID,Job Status
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-29,416026,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-31,416028,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-32,416027,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-34,416106,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-35,416008,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-36,416113,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-39,416110,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-43,416020,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-47,416019,COMPLETE-NO-DUE-DATE-SET
1011682,ActualActivity,Furrow Irrigation,,2018-12-03T09:00:06.000-07:00,Hereford,H-07,416104,COMPLETE-NO-DUE-DATE-SET
1011687,ActualActivity,Furrow Irrigation,,2018-12-07T21:30:22.000-07:00,Elbon,E-07,416010,COMPLETE-NO-DUE-DATE-SET
1012180,ActualActivity,Drip Fert   Application,,2018-11-28T14:00:19.000-07:00,Lone Tree,T-06,416048,IN-PROGRESS-NO-DUE-DATE-SET
1012372,ActualActivity,Drip Irrigation,,2018-11-28T14:49:54.000-07:00,Lone Tree,T-06,416048,COMPLETE-NO-DUE-DATE-SET
1012387,ActualActivity,Pre Irrigation- Furrow,,2018-12-03T09:00:52.000-07:00,Lone Tree,T-03,416051,COMPLETE-NO-DUE-DATE-SET
1012388,ActualActivity,Pre Irrigation- Furrow,,2018-12-03T08:30:16.000-07:00,Lone Tree,T-01,416049,COMPLETE-NO-DUE-DATE-SET
1012389,ActualActivity,Drip  Irrigation,,2018-11-27T12:00:29.000-07:00,Las Animas,L-07E-South,427942,COMPLETE-NO-DUE-DATE-SET
1013241,ActualActivity,Pull Ditches,,2018-12-03T15:03:33.370-07:00,Pick Anderson,P-34,416106,COMPLETE-NO-DUE-DATE-SET
1013241,ActualActivity,Pull Ditches,,2018-12-03T15:03:33.370-07:00,Pick Anderson,P-36,416113,COMPLETE-NO-DUE-DATE-SET
1013244,ActualActivity,Pull Ditches,,2018-12-03T15:07:36.426-07:00,Hereford,H-23,416094,COMPLETE-NO-DUE-DATE-SET
1013244,ActualActivity,Pull Ditches,,2018-12-03T15:07:36.426-07:00,Hereford,H-24,416093,COMPLETE-NO-DUE-DATE-SET
1013244,ActualActivity,Pull Ditches,,2018-12-03T15:07:36.426-07:00,Pick Anderson,P-23,416024,COMPLETE-NO-DUE-DATE-SET
1013244,ActualActivity,Pull Ditches,,2018-12-03T15:07:36.426-07:00,Pick Anderson,P-24,416023,COMPLETE-NO-DUE-DATE-SET
1013244,ActualActivity,Pull Ditches,,2018-12-03T15:07:36.426-07:00,Pick Anderson,P-35,416008,COMPLETE-NO-DUE-DATE-SET
1013614,ActualActivity,Connect Drip Tape,,2018-12-04T11:43:08.134-07:00,Delta Ranch,D-19 Block #1,432289,COMPLETE-NO-DUE-DATE-SET
1013614,ActualActivity,Connect Drip Tape,,2018-12-04T11:43:08.134-07:00,Delta Ranch,D-19 Block #2,435759,COMPLETE-NO-DUE-DATE-SET
1013614,ActualActivity,Connect Drip Tape,,2018-12-04T11:43:08.134-07:00,Delta Ranch,D-19 Block #3,432290,COMPLETE-NO-DUE-DATE-SET
1013614,ActualActivity,Connect Drip Tape,,2018-12-04T11:43:08.134-07:00,Delta Ranch,D-19 Block #4,435760,COMPLETE-NO-DUE-DATE-SET
1013614,ActualActivity,Connect Drip Tape,,2018-12-04T11:43:08.134-07:00,Delta Ranch,D-19 Block #5,432291,COMPLETE-NO-DUE-DATE-SET
1013614,ActualActivity,Connect Drip Tape,,2018-12-04T11:43:08.134-07:00,Delta Ranch,D-19 Block #6,435761,COMPLETE-NO-DUE-DATE-SET
1013630,ActualActivity,Pre Irrigation- Furrow- Gated Pipe,,2018-12-08T12:05:12.000-07:00,Las Animas,L-10,415992,COMPLETE-NO-DUE-DATE-SET
1013639,ActualActivity,Pull Ditches,,2018-12-04T12:19:43.554-07:00,Pick Anderson,P-01W,416044,COMPLETE-NO-DUE-DATE-SET
1013640,ActualActivity,Pull Ditches,,2018-12-04T12:20:22.410-07:00,Pick Anderson,P-01E,416043,COMPLETE-NO-DUE-DATE-SET
1013653,ActualActivity,Connect Drip Tape,,2018-12-04T12:51:09.214-07:00,Kreyenhagen,K-07,416122,COMPLETE-NO-DUE-DATE-SET
1013655,ActualActivity,Pre Irrigation- Furrow- Gated Pipe,,2018-12-05T12:53:19.000-07:00,Delta Ranch,D-01,416056,COMPLETE-NO-DUE-DATE-SET
1013880,ActualActivity,Pre Irrigation- Sprinkler,,2018-12-10T08:00:00.000-07:00,Las Animas,L-03,416115,COMPLETE-NO-DUE-DATE-SET
